country,winrate,n_votes
Ukraine,9%,24631
Spain,9%,24585
Sweden,9%,23073
Italy,8%,21213
United Kingdom,7%,18484
Serbia,6%,16544
Greece,5%,14267
Portugal,5%,13492
Poland,5%,12445
Netherlands,5%,12345
Norway,3%,8522
Armenia,3%,7234
France,2%,6140
Lithuania,2%,5358
Finland,2%,4592
Moldova,2%,4365
Romania,2%,4179
Azerbaijan,2%,4151
Belgium,1%,3607
Albania,1%,3438
Estonia,1%,3120
Australia,1%,3046
Cyprus,1%,2794
Malta,1%,2731
Austria,<1%,2300
Czech Republic,<1%,2286
Iceland,<1%,2265
Israel,<1%,1887
Bulgaria,<1%,1796
Ireland,<1%,1745
Germany,<1%,1653
Latvia,<1%,1597
North Macedonia,<1%,1501
Slovenia,<1%,1446
Montenegro,<1%,1436
Switzerland,<1%,1257
Croatia,<1%,1233
San Marino,<1%,1014
Denmark,<1%,1013
Georgia,<1%,764
