end_timestamp,start_timestamp,tweet_count
2022-11-07T21:00:00.000Z,2022-11-07T20:40:45.000Z,24
2022-11-07T22:00:00.000Z,2022-11-07T21:00:00.000Z,51
2022-11-07T23:00:00.000Z,2022-11-07T22:00:00.000Z,52
2022-11-08T00:00:00.000Z,2022-11-07T23:00:00.000Z,32
2022-11-08T01:00:00.000Z,2022-11-08T00:00:00.000Z,23
2022-11-08T02:00:00.000Z,2022-11-08T01:00:00.000Z,18
2022-11-08T03:00:00.000Z,2022-11-08T02:00:00.000Z,10
2022-11-08T04:00:00.000Z,2022-11-08T03:00:00.000Z,7
2022-11-08T05:00:00.000Z,2022-11-08T04:00:00.000Z,12
2022-11-08T06:00:00.000Z,2022-11-08T05:00:00.000Z,18
2022-11-08T07:00:00.000Z,2022-11-08T06:00:00.000Z,37
2022-11-08T08:00:00.000Z,2022-11-08T07:00:00.000Z,24
2022-11-08T09:00:00.000Z,2022-11-08T08:00:00.000Z,39
2022-11-08T10:00:00.000Z,2022-11-08T09:00:00.000Z,35
2022-11-08T11:00:00.000Z,2022-11-08T10:00:00.000Z,38
2022-11-08T12:00:00.000Z,2022-11-08T11:00:00.000Z,39
2022-11-08T13:00:00.000Z,2022-11-08T12:00:00.000Z,70
2022-11-08T14:00:00.000Z,2022-11-08T13:00:00.000Z,46
2022-11-08T15:00:00.000Z,2022-11-08T14:00:00.000Z,43
2022-11-08T16:00:00.000Z,2022-11-08T15:00:00.000Z,25
2022-11-08T17:00:00.000Z,2022-11-08T16:00:00.000Z,30
2022-11-08T18:00:00.000Z,2022-11-08T17:00:00.000Z,29
2022-11-08T19:00:00.000Z,2022-11-08T18:00:00.000Z,73
2022-11-08T20:00:00.000Z,2022-11-08T19:00:00.000Z,67
2022-11-08T21:00:00.000Z,2022-11-08T20:00:00.000Z,63
2022-11-08T22:00:00.000Z,2022-11-08T21:00:00.000Z,37
2022-11-08T23:00:00.000Z,2022-11-08T22:00:00.000Z,37
2022-11-09T00:00:00.000Z,2022-11-08T23:00:00.000Z,26
2022-11-09T01:00:00.000Z,2022-11-09T00:00:00.000Z,16
2022-11-09T02:00:00.000Z,2022-11-09T01:00:00.000Z,17
