id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
935995,12.69,Jan-00,35.35,22.66,9,0,0,93*,,495,0,3,2020-2022
926629,-31.66,28-Mar,0.33,32,0,0,0,1,,1,0,8,2021-2022
380354,,,30.58,,12,,3,120,,1254,0,,2012-2022
932355,-19.09,Apr-47,0,19.09,1,0,0,0*,,0,0,11,2022-2022
536936,,,34.76,,40,,5,176,,1912,3,,2015-2022
833087,-44.5,Feb-42,8,52.5,0,0,0,14,,24,0,2,2021-2021
56025,-9.65,4-Mar,35.61,45.26,74,0,3,128*,,4879,0,82,2007-2022
629063,-9.98,25-Apr,22.9,32.89,28,0,1,100*,,756,0,79,2017-2022
990081,,,1,,2,,0,1,,1,0,,2020-2021
629070,5,Apr-41,36.2,31.19,4,0,0,51*,,362,0,41,2017-2021
373696,-4.86,13-Feb,22.28,27.14,4,0,0,60,,557,0,7,2012-2018
550133,-31.64,13-Mar,25.36,57,18,0,0,52*,,634,0,17,2016-2022
56029,,,36.42,,204,,8,144,,6811,52,,2006-2022
330902,-16.4,Jun-43,7.5,23.9,13,5,0,18*,,105,0,141,2015-2022
629058,,-,14,,3,0,0,38,,210,0,0,2018-2022
348049,,19-Mar,,25.6,0,0,0,18*,,18,0,5,2022-2022
410765,,,82.5,,4,,0,45*,,165,3,,2016-2022
373538,-89.36,12-Jan,25.63,115,37,0,1,102,,1333,0,3,2014-2019
819429,-33.08,17-Jan,11.66,44.75,2,0,0,15*,,35,0,4,2021-2022
420402,,,17.6,,20,,0,60,,264,2,,2014-2017
568136,,Mar-56,,22.86,3,0,0,6*,,7,0,15,2014-2022
974175,-21.7,Apr-49,2,23.7,1,0,0,2*,,2,0,17,2022-2022
440970,,-,32.71,,11,0,0,97*,,1505,0,0,2013-2022
352048,-15.07,Jun-43,20.53,35.6,22,1,0,82*,,1150,0,64,2011-2022
793457,,,22.56,,3,,0,67,,361,0,,2018-2019
921509,,,61.85,,3,,3,162,,433,0,,2019-2022
703323,,,21.92,,10,,0,57*,,307,0,,2017-2018
793467,,-,9,,0,0,0,9,,9,0,0,2017-2017
25913,-4.65,30-Apr,27.48,32.13,58,0,1,116,,2968,0,144,2009-2022
793447,-4.42,Apr-42,21,25.42,2,0,0,10*,,21,0,14,2016-2021
524049,,-,31.33,,39,0,1,104*,,1974,0,0,2012-2022
1182529,,-,,,0,0,0,2*,,2,0,0,2022-2022
914171,,Mar-32,,10.66,0,0,,,,,0,3,2022-2022
793463,1.69,18-Jul,20.25,18.55,27,4,0,60*,,1134,0,163,2015-2022
974087,,,41.57,,9,,3,127,,582,2,,2021-2022
633362,-37.1,29-Mar,9.42,46.53,5,0,0,21,,66,0,13,2014-2022
318339,-8.37,Apr-31,29.2,37.58,21,0,0,96,,1811,0,46,2009-2019
711559,-8.41,21-Jan,25.58,34,3,0,1,118,,435,0,1,2014-2022
533956,1.34,May-32,38.06,36.71,20,1,5,114,,3083,0,14,2013-2022
974109,-17.83,May-50,6.92,24.75,9,1,0,18*,,97,0,79,2017-2022
440968,-40.42,Feb-34,3,43.42,4,0,0,5,,9,0,7,2015-2022
959759,,,30.12,,6,,0,96,,482,0,,2022-2023
440516,,,15.5,,1,,0,22,,31,0,,2020-2020
277912,-14.88,Jul-34,9.09,23.97,37,5,0,21*,,191,0,187,2012-2022
362541,-14.08,Apr-55,18.41,32.5,5,0,0,57,,221,0,26,2011-2022
326968,0.23,21-Mar,42.5,42.26,9,0,2,140,,510,0,15,2022-2023
440517,,,32,,2,,0,32,,32,0,,2022-2022
438563,,,52.4,,2,,2,124*,,262,0,,2015-2022
379140,,,45.81,,9,,3,138,,733,0,,2021-2023
55395,-14.5,26-Mar,26.5,41,17,0,0,74*,,742,0,30,2012-2022
547766,-29.14,Mar-52,0,29.14,0,0,0,0,,0,0,7,2022-2023
493773,-24.11,May-45,6.92,31.04,12,1,0,19,,97,0,85,2016-2023
226492,17.23,6-Feb,41.73,24.5,104,0,18,237*,,7346,0,4,2009-2022
506612,-12.35,30-May,13.11,25.47,19,2,0,48*,,223,0,116,2014-2022
625960,7.09,Mar-45,34,26.9,2,0,0,25*,,34,0,11,2020-2022
388802,,,35.02,,103,,7,145*,,3467,15,,2012-2023
450860,-21.08,Mar-49,16.8,37.88,21,0,0,36,,168,0,45,2012-2022
381743,13.17,25-Mar,36.84,23.66,6,0,1,100*,,479,0,6,2021-2023
355269,-5.44,27-May,28.18,33.62,26,2,0,97*,,1409,0,69,2013-2022
539511,,,34.41,,22,,1,124*,,1652,0,,2015-2023
823509,5,9-Jan,31.2,26.2,7,0,0,63*,,312,0,5,2022-2023
526441,-17.95,19-Apr,20.07,38.03,10,0,0,32,,261,0,32,2019-2023
303423,-0.68,26-Jan,33.31,34,27,0,8,145*,,2665,0,2,2010-2023
595921,-3.46,Mar-49,31.4,34.86,6,0,0,68,,471,0,15,2020-2023
1099379,-31.83,10-Jan,17.66,49.5,4,0,0,22,,159,0,4,2020-2023
348034,-18.79,24-Apr,18.93,37.73,40,0,0,74,,928,0,93,2010-2023
961401,,,43.5,,0,,0,84,,87,0,,2023-2023
303508,2.28,Feb-30,23,20.71,1,0,0,16*,,23,0,7,2019-2021
379144,,Feb-41,,43.75,2,0,0,7*,,7,0,4,2022-2023
928067,-25.65,Apr-38,3.71,29.36,3,0,0,9*,,26,0,38,2019-2023
348059,-21.71,May-46,8.1,29.81,11,1,0,18,,162,0,61,2016-2021
417381,-13.05,29-May,19.76,32.81,27,1,0,79,,672,0,76,2014-2023
1112535,,,3.5,,2,,0,5,,7,0,,2022-2022
1005257,-3.11,10-May,22.8,25.92,13,1,1,100*,,593,0,39,2017-2022
303427,-6.42,Jun-55,38.74,45.16,53,1,13,177,,5230,0,43,2008-2023
961407,0.05,20-Jan,53.55,53.5,13,0,3,113,,1071,0,2,2020-2023
928057,,,20.12,,39,,0,83,,483,1,,2019-2023
8917,-24.97,Apr-46,25.34,50.31,39,0,3,128,,2154,0,96,2014-2023
669855,-17.32,Jun-40,5.4,22.72,5,1,0,8*,,27,0,37,2019-2023
8608,-21.63,23-May,7.58,29.22,53,2,0,28,,273,0,269,2002-2015
297433,,,46.58,,48,,11,141*,,3634,3,,2011-2022
297628,,,33.42,,19,,1,118,,702,1,,2015-2022
