id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s
420402,2014-2017,17,16,1,264,60,17.6,488,54.09,0,2,3,15,0
921509,2019-2022,8,8,1,433,162,61.85,497,87.12,3,0,0,45,5
568136,2014-2022,11,3,3,7,6*,,21,33.33,0,0,0,0,0
819429,2021-2022,7,4,1,35,15*,11.66,56,62.5,0,0,0,5,0
440970,2013-2022,53,53,7,1505,97*,32.71,2295,65.57,0,13,4,128,9
703323,2017-2018,16,16,2,307,57*,21.92,440,69.77,0,3,2,38,6
352048,2011-2022,75,64,8,1150,82*,20.53,1572,73.15,0,5,5,90,28
974175,2022-2022,10,3,2,2,2*,2,8,25,0,0,1,0,0
793457,2018-2019,16,16,0,361,67,22.56,409,88.26,0,2,1,38,17
793467,2017-2017,1,1,0,9,9,9,33,27.27,0,0,0,0,0
25913,2009-2022,136,121,13,2968,116,27.48,3478,85.33,1,15,6,189,92
974109,2017-2022,55,27,13,97,18*,6.92,128,75.78,0,0,9,10,2
524049,2012-2022,82,75,12,1974,104*,31.33,2187,90.26,1,15,4,170,66
793447,2016-2021,7,5,4,21,10*,21,29,72.41,0,0,0,3,0
1182529,,1,1,1,2,2*,,1,200,0,0,0,0,0
974087,2021-2022,15,15,1,582,127,41.57,659,88.31,3,2,0,49,25
914171,2022-2022,1,,,,,,,,,,,,
533956,2013-2022,88,84,3,3083,114,38.06,4373,70.5,5,22,3,265,35
793463,2015-2022,86,68,12,1134,60*,20.25,1077,105.29,0,5,7,96,40
318339,2009-2019,84,74,12,1811,96,29.2,2765,65.49,0,11,1,137,26
633362,2014-2022,19,11,4,66,21,9.42,100,66,0,0,2,3,2
711559,2014-2022,17,17,0,435,118,25.58,578,75.25,1,2,3,39,10
440968,2015-2022,9,5,2,9,5,3,32,28.12,0,0,1,0,0
959759,2022-2023,17,16,0,482,96,30.12,512,94.14,0,4,2,64,12
277912,2012-2022,99,45,24,191,21*,9.09,245,77.95,0,0,2,19,6
362541,2011-2022,21,14,2,221,57,18.41,274,80.65,0,1,1,14,7
440516,2020-2020,2,2,0,31,22,15.5,35,88.57,0,0,0,4,0
326968,2022-2023,19,16,4,510,140,42.5,430,118.6,2,0,0,45,24
438563,2015-2022,7,7,2,262,124*,52.4,251,104.38,2,0,1,18,10
379140,2021-2023,18,17,1,733,138,45.81,847,86.54,3,3,1,83,11
55395,2012-2022,45,35,7,742,74*,26.5,699,106.15,0,4,2,58,29
440517,,1,1,0,32,32,32,37,86.48,0,0,0,3,0
547766,2022-2023,3,1,0,0,0,0,2,0,0,0,1,0,0
493773,2016-2023,53,25,11,97,19,6.92,197,49.23,0,0,4,5,1
226492,2009-2022,198,195,19,7346,237*,41.73,8415,87.29,18,39,16,750,187
625960,2020-2022,8,3,2,34,25*,34,31,109.67,0,0,0,2,2
506612,2014-2022,65,25,8,223,48*,13.11,240,92.91,0,0,4,19,9
450860,2012-2022,42,17,7,168,36,16.8,165,101.81,0,0,2,11,4
