id,name,gender,bating_style,bowling_style,playing_role,country_id
935995,Afif Hossain,M,left-hand bat,right-arm offbreak,allrounder,25
380354,Anamul Haque,M,right-hand bat,,wicketkeeper batter,25
1346729,Dilara Akter,F,right-hand bat,,wicketkeeper batter,25
932355,Ebadot Hossain,M,right-hand bat,right-arm fast-medium,bowler,25
627048,Fahima Khatun,F,right-hand bat,legbreak,bowler,25
486995,Fargana Hoque,M,right-hand bat,,top-order batter,25
1195124,Fariha Trisna,F,right-hand bat,left-arm medium,bowler,25
926629,Hasan Mahmud,M,right-hand bat,right-arm medium,bowler,25
343649,Jahanara Alam,F,right-hand bat,right-arm medium,bowler,25
927619,Khaled Ahmed,M,right-hand bat,right-arm medium,bowler,25
346295,Lata Mondal,F,right-hand bat,right-arm medium,allrounder,25
536936,Litton Das,M,right-hand bat,right-arm offbreak,wicketkeeper batter,25
833087,Mahedi Hasan,M,right-hand bat,right-arm offbreak,allrounder,25
1161381,Mahmudul Hasan Joy,M,right-hand bat,,top-order batter,25
56025,Mahmudullah,M,right-hand bat,right-arm offbreak,allrounder,25
1332561,Marufa Akter,F,right-hand bat,right-arm medium-fast,bowler,25
629063,Mehidy Hasan Miraz,M,right-hand bat,right-arm offbreak,allrounder,25
990081,Mohammad Naim,M,left-hand bat,,opening batter,25
629070,Mohammad Saifuddin,M,left-hand bat,right-arm medium-fast,bowling allrounder,25
373696,Mominul Haque,M,left-hand bat,slow left-arm orthodox,middle-order batter,25
550133,Mosaddek Hossain,M,right-hand bat,right-arm offbreak,middle-order batter,25
1145089,S Mostary,F,right-hand bat,right-arm medium,middle-order batter,25
549950,Munim Shahriar,M,right-hand bat,right-arm medium-fast,batter,25
1080264,Murshida Khatun,F,left-hand bat,,opening batter,25
56029,Mushfiqur Rahim,M,right-hand bat,,wicketkeeper batter,25
330902,Mustafizur Rahman,M,left-hand bat,left-arm fast-medium,bowler,25
924183,Nahida Akter,F,right-hand bat,slow left-arm orthodox,bowler,25
629058,Najmul Hossain Shanto,M,left-hand bat,right-arm offbreak,top-order batter,25
348049,Nasum Ahmed,M,left-hand bat,slow left-arm orthodox,bowler,25
932635,Nayeem Hasan,M,right-hand bat,right-arm offbreak,bowler,25
924177,Nigar Sultana,F,right-hand bat,,wicketkeeper batter,25
410765,Nurul Hasan,M,right-hand bat,,wicketkeeper batter,25
1139511,Parvez Hossain Emon,M,left-hand bat,,wicketkeeper batter,25
1204964,Rabeya Khan,F,right-hand bat,legbreak,allrounder,25
478808,Ritu Moni,F,right-hand bat,right-arm medium,allrounder,25
343648,Rumana Ahmed,F,right-hand bat,legbreak,allrounder,25
373538,Sabbir Rahman,M,right-hand bat,legbreak,middle-order batter,25
301603,Salma Khatun,F,right-hand bat,right-arm offbreak,allrounder,25
1205142,Sanjida Akter Meghla,F,right-hand bat,slow left-arm orthodox,bowler,25
629057,Shadman Islam,M,left-hand bat,slow left-arm orthodox,opening batter,25
420402,Afsar Zazai,M,right-hand bat,,wicketkeeper batter,40
819429,Azmatullah Omarzai,M,right-hand bat,right-arm medium-fast,allrounder,40
819441,Darwish Rasooli,M,right-hand bat,right-arm offbreak,top-order batter,40
568136,Fareed Ahmad,M,left-hand bat,left-arm fast-medium,bowler,40
