id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
935995,-1.88,9-Feb,21.34,23.22,16,0,0,77*,,1003,0,9,2018-2022
932355,,Mar-51,,20,0,0,,,,,0,7,2022-2022
926629,-21.19,Mar-47,2.5,23.69,4,0,0,3,,5,0,13,2020-2022
380354,,,24.72,,4,,0,58,,445,1,,2012-2022
536936,,,22.03,,27,,0,69,,1388,1,,2015-2022
833087,-14.56,19-Mar,12.33,26.9,13,0,0,30*,,259,0,30,2018-2022
56025,-3.05,10-Mar,23.57,26.63,46,0,0,64*,,2122,0,38,2007-2022
629063,-38.85,17-Mar,14.4,53.25,9,0,0,46,,216,0,8,2017-2022
990081,,,23.97,,18,,0,81,,815,0,,2019-2022
373696,,-,20,,1,0,0,26*,,60,0,0,2012-2014
629070,-11.49,Apr-33,18.18,29.67,8,0,0,39*,,200,0,34,2017-2022
550133,-3.58,20-May,18.52,22.11,13,1,0,48*,,389,0,18,2016-2022
56029,,,19.48,,42,,0,72*,,1500,30,,2006-2022
330902,-17.41,22-May,4.53,21.94,19,1,0,15,,68,0,97,2015-2022
629058,,-,24,,11,0,0,71,,384,0,0,2019-2022
348049,-9.83,10-Apr,10.2,20.03,6,0,0,19*,,51,0,32,2021-2022
410765,,,16.48,,21,,0,42*,,445,9,,2016-2022
373538,10.09,11-Mar,23.26,13.16,25,0,0,80,,977,0,6,2014-2022
420402,,,16.5,,0,,0,24,,33,2,,2013-2022
819429,-31.57,22-Mar,13.42,45,5,0,0,20,,94,0,6,2022-2022
568136,,14-Mar,,20.7,3,0,0,24*,,27,0,30,2016-2022
974175,-20.52,11-Mar,0,20.52,3,0,0,0*,,0,0,21,2021-2022
440970,,,24,,1,,0,36,,48,0,,2013-2022
352048,-17.33,19-Feb,19.21,36.55,21,0,0,56*,,615,0,20,2012-2022
703323,,,20,,0,,0,20,,20,0,,2022-2022
793457,,,31.19,,5,,1,162*,,967,0,,2016-2022
921509,,,29.3,,6,,0,64*,,381,0,,2019-2022
793467,-12.06,11-May,16.45,28.51,8,1,0,53,,362,0,31,2016-2022
25913,-7.19,10-Apr,21.07,28.27,54,0,0,89,,1686,0,84,2010-2022
974109,-9.02,20-May,8,17.02,6,1,0,18,,32,0,49,2018-2022
524049,,,31.17,,41,,0,73,,1590,0,,2012-2022
793447,-0.25,21-Mar,18,18.25,4,0,0,10*,,18,0,31,2019-2022
914171,-3.5,25-Mar,8,11.5,0,0,0,8,,8,0,4,2020-2022
1182529,,10-Apr,,2.5,1,0,0,4*,,4,0,4,2022-2022
974087,,,25.6,,18,,0,87,,896,2,,2019-2022
793463,-0.11,3-May,14.26,14.37,25,2,0,48*,,328,0,122,2015-2022
318339,-2.54,13-May,22.02,24.57,19,1,0,61,,1013,0,28,2010-2022
633362,-30,27-Mar,7,37,3,0,0,18,,35,0,7,2015-2022
711559,,,26.34,,14,,0,73,,764,0,,2015-2022
440968,,Mar-34,,13,0,0,0,1*,,1,0,5,2015-2015
959759,,,22,,13,,1,101,,616,0,,2021-2023
440516,,,14.75,,3,,0,30*,,59,0,,2017-2021
277912,-15.85,13-Apr,6.4,22.25,20,0,0,8,,32,0,74,2013-2022
362541,-2.5,25-Mar,21,23.5,7,0,0,44,,126,0,20,2011-2021
326968,8.4,5-Mar,18.83,10.42,8,0,0,61*,,113,0,21,2022-2023
440517,,,29.5,,8,,0,78*,,118,2,,2022-2022
438563,-2.26,9-Jan,22.48,24.75,16,0,0,83,,787,0,4,2014-2023
379140,,,45.7,,22,,0,99*,,1234,4,,2020-2023
55395,-22.63,22-Feb,15.78,38.41,20,0,0,59,,505,0,12,2012-2021
547766,-13.3,Apr-33,9,22.3,3,0,0,6*,,9,0,10,2020-2023
493773,-13.95,21-May,5.25,19.2,8,1,0,14,,21,0,43,2017-2023
226492,,-,31.81,,68,0,2,105,,3531,0,0,2009-2022
506612,-17.28,Mar-44,10,27.28,1,0,0,10,,10,0,7,2014-2017
625960,-49.75,15-Feb,20.5,70.25,3,0,0,30,,41,0,4,2020-2021
388802,,,24.76,,8,,0,65*,,322,3,,2012-2021
450860,-13.33,Apr-37,13,26.33,8,0,0,10*,,39,0,36,2010-2022
381743,9.25,27-Feb,27.75,18.5,19,0,0,72*,,888,0,8,2019-2023
