id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s
420402,2013-2022,2,2,0,33,24,16.5,45,73.33,0,0,0,1,1
921509,2019-2022,16,16,3,381,64*,29.3,361,105.54,0,1,0,30,10
568136,2016-2022,22,3,3,27,24*,,24,112.5,0,0,0,4,0
352048,2012-2022,55,45,13,615,56*,19.21,509,120.82,0,1,3,45,27
440970,2013-2022,6,4,2,48,36,24,55,87.27,0,0,0,5,0
793457,2016-2022,34,34,3,967,162*,31.19,708,136.58,1,3,3,94,56
819429,2022-2022,16,10,3,94,20,13.42,97,96.9,0,0,0,7,2
703323,2022-2022,1,1,0,20,20,20,14,142.85,0,0,0,4,0
793467,2016-2022,41,26,4,362,53,16.45,328,110.36,0,1,2,26,15
974175,2021-2022,17,2,1,0,0*,0,2,0,0,0,1,0,0
524049,2012-2022,86,76,25,1590,73,31.17,1120,141.96,0,8,4,101,88
974109,2018-2022,36,9,5,32,18,8,31,103.22,0,0,1,4,1
25913,2010-2022,104,96,16,1686,89,21.07,1204,140.03,0,4,6,114,89
793447,2019-2022,22,5,4,18,10*,18,21,85.71,0,0,0,2,0
1182529,,1,1,1,4,4*,,8,50,0,0,0,0,0
914171,2020-2022,2,2,1,8,8,8,9,88.88,0,0,0,1,0
318339,2010-2022,65,56,10,1013,61,22.02,858,118.06,0,2,2,76,37
793463,2015-2022,74,41,18,328,48*,14.26,257,127.62,0,0,7,20,20
633362,2015-2022,13,8,3,35,18,7,40,87.5,0,0,1,2,1
974087,2019-2022,35,35,0,896,87,25.6,648,138.27,0,5,4,70,55
711559,2015-2022,33,32,3,764,73,26.34,707,108.06,0,4,0,74,21
440968,2015-2015,2,1,1,1,1*,,1,100,0,0,0,0,0
959759,2021-2023,28,28,0,616,101,22,384,160.41,1,2,2,62,36
440516,2017-2021,7,6,2,59,30*,14.75,75,78.66,0,0,0,4,0
277912,2013-2022,55,12,7,32,8,6.4,42,76.19,0,0,1,2,0
326968,2022-2023,16,11,5,113,61*,18.83,81,139.5,0,1,2,10,5
362541,2011-2021,20,11,5,126,44,21,90,140,0,0,2,6,9
438563,2014-2023,44,39,4,787,83,22.48,646,121.82,0,3,3,65,27
379140,2020-2023,38,35,8,1234,99*,45.7,947,130.3,0,9,0,118,32
440517,,7,5,1,118,78*,29.5,93,126.88,0,1,0,10,5
55395,2012-2021,41,39,7,505,59,15.78,365,138.35,0,3,6,27,30
547766,2020-2023,10,2,1,9,6*,9,8,112.5,0,0,0,1,0
493773,2017-2023,31,8,4,21,14,5.25,21,100,0,0,2,0,2
226492,2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
506612,2014-2017,6,2,1,10,10,10,5,200,0,0,0,2,0
625960,2020-2021,8,4,2,41,30,20.5,27,151.85,0,0,0,7,0
388802,2012-2021,18,15,2,322,65*,24.76,303,106.27,0,2,0,22,5
450860,2010-2022,35,12,9,39,10*,13,39,100,0,0,1,1,2
381743,2019-2023,44,42,10,888,72*,27.75,633,140.28,0,4,1,59,36
