id,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk
935995,2020-2022,Jan-00,Jan-00,,22.66,4.97,27.3,68,0,0,8,1,22,13.4,,0,3
380354,2012-2022,,,,,,,,,,,,44,,,,
932355,2022-2022,Apr-47,Apr-47,,19.09,5.94,19.2,210,0,1,4,1,4,35.2,,0,11
926629,2021-2022,28-Mar,28-Mar,,32,5.9,32.5,256,0,0,6,3,6,43.2,,0,8
536936,2015-2022,,,,,,,,,,,,60,,,,
833087,2021-2021,Feb-42,Feb-42,,52.5,4.56,69,105,0,0,3,1,3,23,,0,2
629063,2017-2022,25-Apr,25-Apr,,32.89,4.66,42.3,2599,0,5,66,24,67,557.3,,0,79
990081,2020-2021,,,,,,,,,,,,2,,,,
373696,2012-2018,13-Feb,13-Feb,,27.14,4.87,33.4,190,0,0,12,1,28,39,,0,7
550133,2016-2022,13-Mar,13-Mar,,57,5.14,66.4,969,0,0,41,2,43,188.2,,0,17
330902,2015-2022,Jun-43,Jun-43,,23.9,5.08,28.2,3370,5,4,81,28,82,663.2,,0,141
56029,2006-2022,,,,,,,,,,,,239,,,,
629058,2018-2022,,,,,4,,4,0,0,1,0,15,1,,0,0
348049,2022-2022,19-Mar,19-Mar,,25.6,3.39,45.2,128,0,0,4,8,4,37.4,,0,5
410765,2016-2022,,,,,,,,,,,,6,,,,
373538,2014-2019,12-Jan,12-Jan,,115,6.76,102,345,0,0,21,0,66,51,,0,3
56025,2007-2022,4-Mar,4-Mar,,45.26,5.21,52.1,3712,0,0,146,14,215,712.1,,0,82
568136,2014-2022,Mar-56,Mar-56,,22.86,4.63,29.6,343,0,0,10,4,11,74,,0,15
819429,2021-2022,17-Jan,17-Jan,,44.75,4.36,61.5,179,0,0,7,0,7,41,,0,4
420402,2014-2017,,,,,,,,,,,,17,,,,
629070,2017-2021,Apr-41,Apr-41,,31.19,5.98,31.2,1279,0,1,28,7,29,213.5,,0,41
974175,2022-2022,Apr-49,Apr-49,,23.7,5.09,27.9,403,0,2,10,5,10,79.1,,0,17
440970,2013-2022,,,,,8.33,,25,0,0,2,0,53,3,,0,0
352048,2011-2022,Jun-43,Jun-43,,35.6,5.41,39.4,2279,1,2,69,11,75,420.3,,0,64
921509,2019-2022,,,,,,,,,,,,8,,,,
793457,2018-2019,,,,,,,,,,,,16,,,,
703323,2017-2018,,,,,,,,,,,,16,,,,
793467,2017-2017,,,,,7.75,,31,0,0,1,0,1,4,,0,0
974109,2017-2022,May-50,May-50,,24.75,4.06,36.5,1956,1,3,54,31,55,481.3,,0,79
25913,2009-2022,30-Apr,30-Apr,,32.13,4.28,44.9,4628,0,4,131,43,136,1079.3,,0,144
524049,2012-2022,,,,,6,,30,0,0,2,0,82,5,,0,0
793447,2016-2021,Apr-42,Apr-42,,25.42,5.78,26.3,356,0,1,7,1,7,61.3,,0,14
1182529,,,,,,8,,32,0,0,1,0,1,4,,0,0
974087,2021-2022,,,,,,,,,,,,15,,,,
533956,2013-2022,May-32,May-32,,36.71,5.81,37.8,514,1,0,27,2,88,88.2,,0,14
793463,2015-2022,18-Jul,18-Jul,,18.55,4.17,26.6,3024,4,6,81,28,86,724.5,,0,163
633362,2014-2022,29-Mar,29-Mar,,46.53,4.28,65.2,605,0,0,19,4,19,141.2,,0,13
318339,2009-2019,Apr-31,Apr-31,,37.58,4.91,45.8,1729,0,1,65,10,84,351.5,,0,46
914171,2022-2022,Mar-32,Mar-32,,10.66,4.17,15.3,32,0,0,1,0,1,7.4,,0,3
711559,2014-2022,21-Jan,21-Jan,,34,5.36,38,34,0,0,2,0,17,6.2,,0,1
440968,2015-2022,Feb-34,Feb-34,,43.42,5.36,48.5,304,0,0,8,4,9,56.4,,0,7
959759,2022-2023,,,,,,,,,,,,17,,,,
440516,2020-2020,,,,,,,,,,,,2,,,,
277912,2012-2022,Jul-34,Jul-34,,23.97,4.93,29.1,4484,5,10,99,69,99,908.5,,0,187
362541,2011-2022,Apr-55,Apr-55,,32.5,4.99,39,845,0,1,21,18,21,169.2,,0,26
326968,2022-2023,21-Mar,21-Mar,,42.26,5.15,49.2,634,0,0,19,4,19,123,,0,15
440517,,,,,,,,,,,,,1,,,,
55395,2012-2022,26-Mar,26-Mar,,41,4.76,51.6,1230,0,0,45,10,45,258,,0,30
438563,2015-2022,,,,,,,,,,,,7,,,,
379140,2021-2023,,,,,,,,,,,,18,,,,
547766,2022-2023,Mar-52,Mar-52,,29.14,7.65,22.8,204,0,0,3,1,3,26.4,,0,7
493773,2016-2023,May-45,May-45,,31.04,5.66,32.8,2639,1,2,53,9,53,465.5,,0,85
226492,2009-2022,6-Feb,6-Feb,,24.5,5.39,27.2,98,0,0,11,0,198,18.1,,0,4
506612,2014-2022,30-May,30-May,,25.47,5.2,29.3,2955,2,10,63,42,65,568,,0,116
625960,2020-2022,Mar-45,Mar-45,,26.9,4.31,37.4,296,0,0,8,6,8,68.4,,0,11
388802,2012-2023,,,,,,,,,,,,123,,,,
450860,2012-2022,Mar-49,Mar-49,,37.88,5.32,42.6,1705,0,0,41,7,42,320.1,,0,45
381743,2021-2023,25-Mar,25-Mar,,23.66,5.68,25,142,0,0,7,0,19,25,,0,6
539511,2015-2023,,,,,,,,,,,,61,,,,
355269,2013-2022,27-May,27-May,,33.62,6.06,33.2,2320,2,2,67,6,71,382.3,,0,69
823509,2022-2023,9-Jan,9-Jan,,26.2,6.55,24,131,0,0,6,0,15,20,,0,5
526441,2019-2023,19-Apr,19-Apr,,38.03,5.95,38.3,1217,0,2,27,10,29,204.2,,0,32
303423,2010-2023,26-Jan,26-Jan,,34,6.8,30,68,0,0,3,0,89,10,,0,2
595921,2020-2023,Mar-49,Mar-49,,34.86,5.59,37.4,523,0,0,16,3,19,93.3,,0,15
1099379,2020-2023,10-Jan,10-Jan,,49.5,6.82,43.5,198,0,0,8,0,14,29,,0,4
961401,,,,,,,,,,,,,3,,,,
348034,2010-2023,24-Apr,24-Apr,,37.73,4.78,47.3,3509,0,4,94,31,105,733.2,,0,93
303508,2019-2021,Feb-30,Feb-30,,20.71,4.53,27.4,145,0,0,4,2,4,32,,0,7
379144,,Feb-41,Feb-41,,43.75,6.03,43.5,175,0,0,4,0,4,29,,0,4
417381,2014-2023,29-May,29-May,,32.81,4.42,44.5,2494,1,2,66,34,70,563.5,,0,76
928067,2019-2023,Apr-38,Apr-38,,29.36,5.64,31.2,1116,0,3,23,9,25,197.5,,0,38
348059,2016-2021,May-46,May-46,,29.81,5.77,30.9,1819,1,2,38,11,38,315,,0,61
1112535,2022-2022,,,,,,,,,,,,3,,,,
1005257,2017-2022,10-May,10-May,,25.92,3.99,38.9,1011,1,0,30,19,35,253.1,,0,39
303427,2008-2023,Jun-55,Jun-55,,45.16,4.77,56.7,1942,1,1,76,8,142,406.5,,0,43
961407,2020-2023,20-Jan,20-Jan,,53.5,6.68,48,107,0,0,3,0,26,16,,0,2
928057,2019-2023,,,,,,,,,,,,32,,,,
8917,2014-2023,Apr-46,Apr-46,,50.31,5.31,56.8,4830,0,1,116,11,126,909,,0,96
8608,2002-2015,23-May,23-May,,29.22,4.92,35.6,7861,2,11,191,125,194,1597.2,,0,269
669855,2019-2023,Jun-40,Jun-40,,22.72,4.91,27.7,841,1,0,19,13,19,171,,0,37
297433,2011-2022,,,,,,,,,,,,95,,,,
297628,2015-2022,,,,,,,,,,,,28,,,,
10617,2006-2016,23-May,23-May,,30.13,5.26,34.3,5364,1,9,121,56,121,1018.1,,0,178
911707,2023-2023,,,,,,,,,,,,3,,,,
308967,2012-2023,,,,,,,,,,,,162,,,,
665053,2021-2021,,,,,,,,,,,,3,,,,
662973,2018-2023,May-48,May-48,,43.3,5.9,44,866,1,0,21,6,21,146.4,,0,20
211855,2016-2022,Feb-70,Feb-70,,56.8,6.45,52.8,284,0,0,5,0,6,44,,0,5
521637,2016-2023,,,,,,,,,,,,6,,,,
364788,2019-2019,,,,,,,,,,,,1,,,,
249866,2014-2019,,,,,,,,,,,,70,,,,
288992,2013-2022,29-May,29-May,,36.08,6,36,1660,1,0,35,5,35,276.4,,0,46
403902,2021-2022,Feb-30,Feb-30,,24.16,5.8,25,145,0,0,7,1,12,25,,0,6
232438,2013-2023,,,,,,,,,,,,18,,,,
643885,2020-2021,Apr-42,Apr-42,,19.92,4.58,26,279,0,1,7,5,7,60.5,,0,14
495964,2017-2023,10-May,10-May,,31.66,6.05,31.3,570,1,1,25,2,37,94.1,,0,18
293831,2008-2022,,,,,,,,,,,,61,,,,
425639,2013-2023,Apr-33,Apr-33,,32.23,5.13,37.6,3385,0,1,80,53,80,659.2,,0,105
1059122,,Jan-38,Jan-38,,65.66,5.42,72.6,197,0,0,5,0,5,36.2,,0,3
55354,2005-2023,25-Apr,25-Apr,,46.6,5.82,47.9,1631,0,1,59,12,109,279.5,,0,35
465327,2022-2023,,,,,4.71,,22,0,0,2,0,14,4.4,,0,0
493765,2022-2022,,,,,,,,,,,,8,,,,
1045883,,,,,,,,,,,,,3,,,,
55412,2010-2023,,,,,,,,,,,,107,,,,
696127,,May-54,May-54,,39.18,6.38,36.8,431,1,0,10,5,11,67.3,,0,11
